variant,gen,repertoire_diversity,opponent_diversity,hof_size,hof_mean_informativeness,opp_mean_perturbations
COEVOLVE_C,31,0.15491579183538698,0.32384349583934174,5.0,3.839481237436429e-05,3.0700000000000003
COEVOLVE_C,32,0.15298537124783873,0.3163105783025479,5.0,3.8886728992162026e-05,3.056666666666667
COEVOLVE_C,33,0.13715261622044542,0.3038478196865381,5.0,3.8886728992162026e-05,3.266666666666667
COEVOLVE_C,34,0.1375100559240055,0.31268476125018196,5.0,3.8886728992162026e-05,3.2833333333333328
COEVOLVE_C,35,0.10702057270483442,0.3155828715957238,5.0,3.8886728992162026e-05,3.056666666666666
COEVOLVE_C,36,0.11585896170803524,0.2912366391469019,5.0,3.922474498640635e-05,3.0733333333333333
COEVOLVE_C,37,0.11249120349652543,0.28965448101249497,5.0,3.922474498640635e-05,3.1033333333333335
COEVOLVE_C,38,0.14698381591651052,0.29423305280399653,5.0,3.9481296536337915e-05,3.5399999999999996
COEVOLVE_C,39,0.12110323916709739,0.30963813620584957,5.0,3.9481296536337915e-05,3.6966666666666663
COEVOLVE_C,40,0.09251782495270726,0.28327704673797727,5.0,3.9481296536337915e-05,3.8500000000000005
COEVOLVE_C,41,0.11025658893404723,0.2778611589015499,5.0,3.9481296536337915e-05,3.703333333333334
COEVOLVE_C,42,0.10690738107553849,0.29396969601908274,5.0,4.026207630261335e-05,3.8233333333333337
COEVOLVE_C,43,0.13907980961547856,0.29637504881814286,5.0,4.026207630261335e-05,3.8933333333333326
COEVOLVE_C,44,0.14682653371133297,0.2762241638652785,5.0,4.11549336954281e-05,3.723333333333333
COEVOLVE_C,45,0.12320730322839193,0.28817395722546474,5.0,4.119483191857818e-05,4.050000000000001
COEVOLVE_C,46,0.13884146479870732,0.26924370999013547,5.0,4.199330883145373e-05,4.02
COEVOLVE_C,47,0.13434541394343233,0.2718779401867345,5.0,4.199330883145373e-05,4.326666666666667
COEVOLVE_C,48,0.13501275280751024,0.27660111668514625,5.0,4.199330883145373e-05,4.156666666666665
COEVOLVE_C,49,0.08502297246034637,0.28022663894619815,5.0,4.199330883145373e-05,4.243333333333334
COEVOLVE_D,0,0.5974940278078376,0.580754345862579,5.0,3.193942121880964e-05,0.29666666666666675
COEVOLVE_D,1,0.8153690310898598,0.5556384264698332,5.0,4.550957932755299e-05,0.55
